Review,Rating,Country,user_avis,Date
"C'est le pire service clients auquel…C'est le pire service clients auquel j'ai eu affaire. Tout d'abord boîte vocale interminable et dont le ton ne convient pas. Ensuite, service incompétent, 10 minutes pour épeler une foutue boîte mail avec erreur de saisie à l'arrivée. Si vous commandez sur le site, j'espère que vous n'aurez pas de soucis avec votre commande, car c'est pire que de l'amateurisme. Incompréhensible pour une entreprise comme Nike",1.0,FR,3avis,13 septembre 2024
"Commande de Nike Air Force 1 validée…Commande de Nike Air Force 1 validée par Nike et paiement confirmé par Paypal.Pas de nouvelles pendant quelques jours.Clic détail pour avoir des infos : résultat, commande au statut ""annulé"" à la date du clic et plus de paiement sur Paypal.J'ai refait la même commande : même résultat.",2.0,FR,17avis,23 septembre 2024
INCOMPÉTENTS j’ai pas d’autres mots…INCOMPÉTENTS j’ai pas d’autres mots pour décrire le service client.C’est vraiment inadmissible de nous faire tourner en bourrique pendant des mois. Réclamation faite en mars 2024 nous sommes au mois de septembre 2024 et mon problème n’est toujours pas résolu. Un vrai SCANDALE. Je ne comprends pas qu’une si grande marque ne s’entoure pas de personnel compétent. Quand je vois la note et les commentaires des autres personnes je me dis que je ne suis absolument pas un cas isolé. Ça mériterait un boycott. J espère que mon problème va être réglé rapidement parce que là c’est épuisant.J’ai mis une étoile car je ne pouvais pas mettre moins sinon c’était un zéro pointé.J’attends soit disant l’appel (soit disant) d’un responsable sous 48h…sans grandes convictions,1.0,FR,1avis,25 septembre 2024
"Méfiez vous++++ service client…Méfiez vous++++ service client inexistant !!Acheter une paire de Nike sur le site officiel, renvoyer la paire trop petite et commander la pointure du dessus, jamais remboursé de la paire retournée…. 200€! Nike aurait reçu un colis vide… ne mène pas d’enquête et laisse son client sans remboursement…. INADMISSIBLE !!!",1.0,FR,3avis,12 août 2024
Service client et transporteur ups…Service client et transporteur ups inefficace. Commande chaussure qui devait être livré en point retrait. Après 2 appels et mail colis pas en point relais et maintenant il parait que le colis a ete retiré. Ouverture d une nouvelle enquête,1.0,FR,1avis,05 septembre 2024
"Petits râté, mais résultats superbe . e .Malgrès quelques petits soucis de réception de colis ( notification de réception de colis en point relais, alors qu'il n'était pas encore livré, il faudra attendre 24h de plus ) , force est de constater que le résultat final , a savoir deux paires de blazers personnalisés, est absolument magnifique et de très très belle qualité. Le rendu est superbe . Certes le prix n'est pas celui d'une simple paire de blazers, mais ça vaut vraiment le coup . Donc bilan : baskets superbe ,très bonne information quand a la création et l'expédition du produit , délai respectés et je souligne enfin la qualité du SAV , car vous échangez avec un athlète , une vraie personne  et pas une IA froide distante et impersonnelle . Donc merc pour tout et  A bientôt.",4.0,FR,21avis,30 août 2024
"Scandaleux !Scandaleux !! Commander une carte cadeau sur le site NIKE et je devais la recevoir dans ma boîte mail, ça fait maintenant 8j que je tel à NIKE car je ne reçois rien dans ma boîte !! Sois disant un ""paramétrage"" de mon ""serveur"" de ma boîte mail qui n autorisé pas le mail 😡 et depuis je relance mes appels et j ai demandé donc de la recevoir par courrier mais toujours rien reçue !!!😡 Par contre le débit c est bien fait et je reçois bien les pubs. Ce site une HONTE, NE PAS COMMANDER",1.0,FR,1avis,15 septembre 2024
"Livraison rapide aucun soucis.Au vu des nombreux commentaires j’ai hésité mais comme le modèle que je voulais été exclusivement sur leur site  j’ai risqué.  Et pour finir mon colis est bel et bien arrivé rapidement et sans aucun problème a la date indiquée( commandé un vendredi matin reçu le  mardi à 12h00 via Chronopost ) Il y a tellement de mauvais commentaires pour une grande marque comme Nike que ca en devient presque suspicieux, peut-être un concurrent qui cherche à salir la marque en tout cas pour moi tout est nickel superbe chaussures je recommanderai sur ce site .",5.0,FR,2avis,08 octobre 2024
Absolument SCANDALEUXAbsolument SCANDALEUX. Ma commande a été livrée au mauvais appartement (ou volée par le livreur ?) et je n'ai aucunes nouvelles du service client une semaine après. Je n'ai jamais vu de tels délais.,1.0,CA,1avis,18 septembre 2024
"Je n'en peux plus de cette marqueJe n'en peux plus de cette marque, ils vendent leur pompes un bras pour que ça ne tienne même pas une saison !",1.0,FR,2avis,04 janvier 2024
"250€ de perdusColis indiqué comme reçu alors que rien n'a été déposé.Mon voisin a bien aperçu le livreur dans ma rue mais celui ci n'est jamais descendu de son camion pour livré les deux colis et le pire dans tout ca le bon de livraison à été signé par le livreur.Nike ne veut rien savoir, pour eux les colis ont été livré et ils ne souhaitent pas pousser l'enquête plus loin.Premier et dernier achat sur leur site250€ de perdu",,FR,3avis,02 septembre 2024
J’ai commandé une paire de Nike 4…J’ai commandé une paire de Nike 4 semaines pour la livraison c’est inadmissible,2.0,FR,,09 octobre 2024
"Expo Nike à Beaubourg : gros failMauvais expérience à l'expo Nike à BeaubourgAccueil désagréable qui t'informe que malgré ta pré inscription, tu vas devoir patienter 45 minutes en raison d'un événement privé.Nike, on aurait préféré un écran moins grand mais plus de professionnalisme et de respect des horaires.",1.0,FR,2avis,04 août 2024
J'aurais du venir ici avant de passer…J'aurais du venir ici avant de passer commande pour pour mon fils.Que se passe-t-il avec ma livraison n°C01439268711 ???Dois-je aller faire des vidéos tiktok avant d'avoir des nouvelles ???,1.0,FR,15avis,24 septembre 2024
"Service client déplorableService client déplorable. Une honte quand on parle de la plus grande marque de sport au monde. Nike a dit ne pas avoir reçu mon colis retour alors que je leur ai apporté toutes les preuves. Ils n'ont pas voulu faire les démarches auprès du transporteur pour ouvrir une réclamation alors que c'est légalement leur responsabilité. Leurs opérateurs parlent mal au client et n'ont aucun pouvoir pour traiter nos demandes  (soit disant ils demandent à leur manager, avec qui on ne peut pas avoir de contact direct...) Si vous aimez les vêtements Nike, n'achetez surtout pas sur le site officiel !!",1.0,FR,1avis,19 juillet 2024
Toujours une expérienceToujours une expérienceÀ chaque fois que j'achète sur le site aucun problème commande reçu en bonne état.,5.0,FR,1avis,06 octobre 2024
"Ce sont de voleurCe sont de voleur , le livreur nous a volé les chaussures (189€) tn full black , après avoir appelé le service client une première fois je rappelle encore je tombe sur une grosse .... Qui me dit que c'est négatif pour le remboursement alors que j'ai comme mémé payé 189€ une paire de tn je vous déconseille de commandé chez eux surtout en livraison il ne sont même pas capable de rembourser les gens alors qu'on paye des milliers d'euros toute l'année en vêtements ect chez eux , plus jamais j'achète chez eux c'est terminé 189€ dans le popotin !",1.0,FR,3avis,11 septembre 2024
J’ai acheté une paire de Nike qui a des…J’ai acheté une paire de Nike qui a des moisissure et ils ne veulent rien faire… parce que le magasin où j’ai acheté la paire « n’est pas autorisé par Nike » ce qui n’a aucun sens puisqu’ils vendent des paires et articles Nike et mêmeAvec la garantie légale de conformité ils ne font rien!Bref Nike deviens de pire en pire… mais heureusement les concurrents font du bon boulot,1.0,FR,5avis,20 août 2024
"Site à fuirSite à fuir ! Sur la commande de 3 vêtements cela s'est bien passé, mais quand on passe au SAV pour un échange ça devient catastrophique car vous écrivez à un ordinateur qui ne comprends le français et traduit la conversation avec n'importe quels mots, au final on vous mail que la vente de tel article est annulée alors que celui-ci n'est pas concerné , par contre aucune nouvelle de l'échange et ça fait 3 semaines. Comment une Société comme NIKE accepte d'avoir un SAV aussi misérable et pourquoi on t'il confié le logiciel d'IA à un informaticien de seconde zone situé au fin fond du monde et programmé par un manchon aveugle et analphabète, quelle honte !",1.0,FR,7avis,29 août 2024
,5.0,FR,3avis,28 juin 2024
"J’ai commandé un joggingJ’ai commandé un jogging, à l’arrivé du colis ce n’était même pas ce que j’avais commandé. Surtout que je l’aimais bien mais malheureusement j’ai du faire un retour car c’était un pantalon noir de la marque Jordan. Vraiment pas cool.",1.0,FR,1avis,30 août 2024
"ExcellentExcellent, commandes toujours respectées. Les deux fois où j'ai du faire un retour ou me faire rembourser pour colis non reçu l'échange avec un conseiller sur le tchat a été très efficace. Possibilité de garder une copie de l'échange. Petit bémol leurs code promo ne fonctionnent pas sur tous les articles....rien de grave en soit, qui plus est c'est indiqué dans les C.G donc bon. Je recommande sans problèmes",5.0,FR,4avis,14 août 2024
"Connexion impossible depuis 1mois, support inefficace.Depuis 1 mois que je n'arrive pas à accéder à mon compte nike.com, j'ai appelé le support 3 fois sans réponse favorable. On me dit que le niveau supérieur est entrain de traiter ma réclamation, mais pas de retour, aucune explication n'est fournie par mon interlocuteur du support.Pourtant je suis un client régulier de la marque, mais l'entreprise n'a que faire de ça à priori.Je comprends mieux les raisons de l'echec en bourse depuis un moment.",1.0,MA,3avis,20 juin 2024
J’ai récemment eu besoin d’échanger un…J’ai récemment eu besoin d’échanger un survêtements que j’avais commandée sur Nike.com. J’ai contacté le service client et j’ai été agréablement surpris par leur réactivité et leur professionnalisme. Le conseiller que j’ai eu au téléphone a été très courtois et a rapidement résolu mon problème. Je suis vraiment satisfait du service client de Nike et je recommande vivement cette marque .,5.0,FR,2avis,03 mai 2024
"Achat de qualitéJ’ai acheté des paires de pointes maxfly, ces chaussures sont au top",5.0,CH,2avis,20 mai 2024
Une nouvelle commande de nouveau une…Une nouvelle commande de nouveau une erreur de Nike et aucune gestion admissible du service client.Je reçois la mauvaise paire de basket on me dit de la retourner et on me dit qu'on ne peut pas me renvoyer la bonne il faut que je repasse une commande et donc que j' avance les fonds et qu' il faut que j'attende 9 jours pour avoir un remboursement pour leur erreur. Ce n'est pas la première fois c'est inadmissible.,1.0,FR,6avis,10 juillet 2024
"Du vol pur et simpleJ'ai acheté une paire de Nike arrivée dans un état déplorable avec de grosses taches jaunes, j'ai évidemment demandé un retour, et maintenant on m'annonce que le colis a été reçu vide et ils refusent de me rembourser.Du grand n'importe quoi, purement et simplement des voleurs",1.0,FR,5avis,18 juin 2024
"En vu des mauvais avis je voulais…En vu des mauvais avis je voulais mettre mon expérience afin de remonter la note. Effectivement, quelqu’un aura plus de facilité à mettre un avis d’une mauvaise experience que d’une bonne. J’ai commandé une paire le dimanche et elles sont arrivés le mardi matin. Parfait, j’ai rarement vu une livraison gratuite aussi rapide. Je suis contente, la boîte était très simpa et évidemment en achetant sur nike on est sûr qu’elle soit authentique 😉.",5.0,FR,2avis,13 février 2024
"Très SatisfaisantLivraison dans les délais indiqués. Le seul soucis que j’ai eu est un article commandé qui a été annulé car non dispo… dommage que les stocks ne soient pas à jour au moment de validé le panier. Service client plutôt bon, délais de réponse un peu long entre les messages mais suite à mon article annulé on m’a donné un code de 10%… un geste apprécié.",4.0,FR,2avis,08 décembre 2023
"J'ai acheté des chaussures de foot Nike…J'ai acheté des chaussures de foot Nike pour mon fils et après 1 mois, les semelles à l'avant se sont décollés.J'ai contacté, et ils ne voulaient pas faire d'échange, car plus de 30 jours, seulement un remboursement. Seulement, c'est un défaut de fabrication et ils doivent me faire l'échange surtout que j'avais eu les chaussures en promotion et maintenant elles coûtent plus chers.Ils ne reconnaissent pas leur tort, et le geste commercial n'est pas dans le vocabulaire",1.0,FR,1avis,02 mai 2024
"NUL, A FUIR !Aucun retour de ma demande...J'avais des bons d'achat à utiliser et suite à un problème de paiement (code d'échec intervenant à la dernière étape) venant de leur site, il m'a été impossible de commander : résultat, j'ai perdu 80,00 € car mes bons ne sont plus utilisables... et le service client ne m'a jamais rappelé ni donné d'informations sur cet échec...NUL ! A FUIR !",1.0,FR,4avis,23 mai 2024
"Site déplorableSite déplorable, impossible de se connecter car il faut recevoir un code par mail qu'on ne reçoit jamais malgré plusieurs tentatives. Service clients commence le chat avec vous et il le ferme sans vous laisser le temps de poser des questions, je viens de valider un paiement avec ma carte et valider ma clef de banque et je reviens sur mon panier comme si je n'avais pas regler. J'attends de voir si je suis débité ou pas. Je déconseille ce site.",1.0,MA,3avis,20 mai 2024
"Service client inexistantService client inexistant. Contactés 4 fois pour personnaliser une paire mais j'ai un code erreur comme quoi le produit est indisponible. On ne vous dit pas quelle option est indisponible par contre donc impossible de modifier. En insistant on vous dit d'attendre 24h. Bref, service déplorable.",1.0,FR,4avis,21 mai 2024
"40 c’est 40 pas 39Mon avis concerne les pointures j’ai la net impression qu’il y a 1 soucis avec les dimensions dés les délocalisations en Asie j’ai remarqué que le 42 est devenu 41 les pieds se déforment a cause de ca, ce serait bien qu’il fassent les réels tailles pcq du 42 c’est du 42 pas du 41 merci",3.0,BE,14avis,06 septembre 2024
"Après plusieurs tentatives de contact…Après plusieurs tentatives de contact avec le tchat restées catastrophiques(renouvellement des questions sans cesse,déconnexion...)plus de 30 min à rien...J' appelle le service client(limite aimable...)pour un code promo poulpeo qui ne fonctionnait pas sur la commande que je voulais effectuer.La personne me dit de suite que mon code ne fonctionne pas sur un des produits de mon panier(2 articles plein tarif en plus..)mais que je peux acheter autrechose...bien sûr....je veux commander des baskets mais je vais acheter un jogging...pffff....franchement très déçue du coup j ai commandé ailleurs.",2.0,FR,44avis,30 juillet 2024
"Qualité du service clientC est la deuxième fois que le transporteur de Nike dépose mon colis à un point relais loin de chez moi sans même m en prévenir.Je contacte le service client par téléphone pour localiser mon colis, après une longue attente l'agent me répond avec un ton agressif et désagréable à la limite de l'insolence.",1.0,FR,5avis,31 mai 2024
"EXCELLENT!!!Simple, facile, des baskets de qualité comme d'hab! Des versions limité sur snkrs ou meme via Nike directement!J en suis a ma 43eme commande en 1 an, jamais de soucis!Les seuls problemes sont CHRONOPOST et leurs livreurs incompétent!J'ai eu 2 fois le meme probleme, ""colis livré"" sauf qu aucun colis n'était présent.Nike a fait une recherche et a trouvé le coupable, de ce fait j ai été rembourser et j ai eu un bon d'achat de 10€ pour les dommages!ALORS LES AVIS NÉGATIF, sortez-vous les doigts du c**.",5.0,FR,22avis,28 mars 2024
"Y a t il un athlete dans l avion NikePourtant client fidele depuis longtemps j ai voulu commander une paire d huarache by you, impossible de la mettre au panier avec un Code: 8BC1708E... premiere tentative de tchat infructueuse, le conseiller me propose de vider le cash et d installer l appli, ce que je fais avec le meme resultat et le fameux tchat est deja ferme☹️. Je decide donc d appeler le service client, un robot me pose plusieurs questions pour me dire que je vais parler a un ""ATHLETE"" faisant suite a une fin de communication immediate a 3 reprises... Les athletes s entrainent ils pour les JO? Je retente le tchat, aucun retour de leurs part puis deconnexion... Resultat j ai ferme mon compte et j ai commande une paire de Pat Ewing sur Zalando😁.Face a un tel niveau d amateurisme je conseille a tous les passionnes de sneakers de favoriser le plateformes de distributions de specialistes....",1.0,FR,1avis,20 mai 2024
J'ai effectué un retour mais on ne m'a…J'ai effectué un retour mais on ne m'a jamais remboursé.Nike = voleurs,1.0,FR,2avis,04 octobre 2024
"Je n’ai pas reçu mon code anniversaire…Je n’ai pas reçu mon code anniversaire et lorsque j’appelle le service client,Je me retrouve face à des personnes sans empathie, qui répète en boucle la même phrase : on ne peut rien faire. Puis lorsque je demande à parler à un responsable,on me raccroche au nez.Tout ce qui compte pour Nike c’est votre argent surtout lorsque que l’on paie les articles au prix fort mais lorsque je ne reçois pas mes -25% personnes !!!",1.0,FR,1avis,26 août 2024
"Retour impossibleJe n'arrive pas à faire un retour car ma commande n'apparaît pas dans mon compte. Aucune adresse mail valide, bien que j'ai reçu la confirmation de commande et de livraison. Le chat me refuse le retour car plus de 30 jours, impossible de les contacter.edit : l'adresse info, mentionnée ici pour l'envoi des copies d'avis ne marche pas non plus, je ne commanderais plus chez eux.",1.0,CH,2avis,13 juillet 2024
"Super expérience !Super expérience !J’ai commandé avant même de lire les avis, tous ces avis négatifs et pour ma part tout s’est très bien passé.J’ai reçu des mails à chaque nouvelle étape (préparation, expédition, livraison…).Colis reçu rapidement et les Jordan sont juste sublimes.J’ai repassé commande il y a deux jours pour deux nouvelles paires de Jordan.",5.0,FR,4avis,05 décembre 2023
Produits de qualité correcte mais les…Produits de qualité correcte mais les t-shirts de foots sont chers pour au final un rétrécissement assez rapide au lavage. Je recommande de prendre légèrement plus grand pour les maillots officiels pour éviter les désagréments.,3.0,FR,2avis,03 juin 2024
"Une reférenceDes dizaines de commandes passées chez eux sur plusieurs années, que ce soit via leur site web ou leur application, je n'ai jamais eu aucun soucis.Que ce soit le livraison, les produits, les retours et remboursements.Je recommande totalement.",5.0,FR,5avis,10 février 2024
QUALITÉ CATASTROPHIQUEQUALITÉ CATASTROPHIQUE !J'ai acheté une paire de Aix Max a mon fils et après 4 utilisations elles ce sont littéralement ouvertes sur l'avant. La couture a cédée et un énorme trou s'est formé. Je précise que les chaussures sont en parfait état et la couture n'a pas lâchée par négligence ou manque de soins.Nous avons dû recoller la partie décousue ce qui a entraîné un refus de prise en charge et une annulation de garantie.Pas cool Nike !!!,1.0,FR,1avis,24 janvier 2024
"Produit de qualité mais SAV à fuir !Produit de qualité, mais service client déplorable !J'ai contacté le service client pour obtenir la facture de mon achat : aucune écoute active, me demande 3 fois les mêmes infos (n° de commande, nom et prénom), la facture n'est finalement pas trouvable et on ne me dit pas quand elle le sera.",1.0,FR,5avis,23 avril 2024
"CATASTROPHIQUEComment dire...cela fait 35 ans que je porte que du Nike et ces dernières années,la qualité s'est terriblement dégradée,cela devient une CATASTROPHE..2 lavages en machine et la couleur devient sombre..la qualité des t-shirts est lamentable,même les t-shirts LIDL sont de meilleur qualité..très déçu depuis quelques années,franchement c'est une HONTE pour le prix que l'on paie...INADMISSIBLE...A FUIR",1.0,FR,14avis,31 mai 2024
"À fuirÀ fuir, c’est des escrocs. J’ai commandé des Jordan Nike, j’ai reçu des vieilles ballerines je les ai renvoyés, et maintenant c’est la grosse discussion parce que ce n’est pas des Nike. J’attends le résultat et j’irai voir les consommateurs.Mr liégeois",1.0,FR,2avis,24 août 2024
"Excellente expérienceExcellente expérience! Chaussures reçues en 2 jours seulement (pour une livraison gratuite!!!)! J'ai été tenue au courant de chaque étape de la commande, préparation, envoi, livraison. Les chaussures sont parfaites, le suivi irréprochable. Franchement, ne tenez pas compte des avis négatifs, ce n'est pas correct pour le site qui est très professionnel! J'étais un peu réfractaire après avoir lu tous les avis négatifs mais les chaussures que je cherchais n'étaient nul par allieurs alors, j'ai tenté et je suis trop contente!",5.0,FR,2avis,14 décembre 2023
"S’il était possible de mettre aucune…S’il était possible de mettre aucune étoile je le ferai. Cela fait trop 3 fois en 2 jours que j’explique mon souci par téléphone,  suite à la livraison de ma commande incomplète. N’ayant aucune réponse à mon problème, sachant qu’à chaque fois je dois ré expliquer mon problème à une personne qui ne comprend déjà pas lorsque je lui dicte mon numéro de commande, alors on me met en attente pendant 15 minutes. J’ai demandé qu’un responsable prenne au moins 3 minutes pour me rappeler, sans succès. Je suis effaré du manque de respect envers les clients Nike. Je fis regarder de plus près la concurrence.",1.0,FR,2avis,29 mai 2024
"LamentableIl est minuit passé. Je crois avoir trouvé où ma commande, annoncée comme livrée, se trouve effectivement.Elle serait donc chez UPS.J'avais pourtant demandé une livraison à domicile, prévue pour demain.Ils auraient essayé de livrer aujourd'hui, n'auraient trouvé personne (ce qui est possible car la livraison était convenue pour demain).Reste à vérifier demain si elle est bien chez UPS.Nul.Dernier achat chez ces gens-là quoi qu'il advienne.En croisant les doigts pour que je puisse récupérer ce que j'ai payé.",1.0,CH,3avis,
Je recommande pas du toutJe recommande pas du tout. J'ai fait une commande  remis à La Poste je suis parti la récupérer à La Poste il se trouvait que Le colis était ouvert manquais des articles L'employé de La Poste La constaté comme moi-même sur ce j'ai fait des photos sur place avec l'employé comme témoin afin de faire ma réclamation. Après une semaine d'attente Nike me répond suite à notre enquête nous ne pouvons donner suite à votre demande de remboursement car la livraison a été effectuée....,1.0,FR,1avis,13 mars 2024
,1.0,FR,1avis,
Je suis dégoûté commande d’un montant…Je suis dégoûté commande d’un montant de 650 euros effectuée le 23 novembre 2023 et depuis j’attends aucune information n’est communiqué.. les conseillers se permettent en plus d’être désinvolte et s’énerver.J’ai dû me rendre sur plusieurs points de retrait pour vérifier si la commande était arrivée pour rien !Les conseillers se permettent de te raccroché le téléphone au nez la vente en ligne est totalement à revoir chez eux une honte,1.0,FR,2avis,09 décembre 2023
"LeBron 20 noir pour enfants se détériore rapidement.Bonjour j'ai acheté une paire de LeBron 20 de basket ball à mon fils qui évolue en U11 l'été dernier pour sa reprise en septembre.Après quelques entraînements et matchs exclusivement en intérieur l'avant de la basket a commencé à se décoller et à quelques endroits la teinte noire de la basket commence à s'estomper.J'ai contacté le service client qui n'ont rien voulu savoir car je l'ai acheté chez un revendeur indépendant.Pour une paire que j'ai payé au prix fort à savoir 150 € c'est inadmissible.Je pensais avoir un retour favorable du service client,qui selon les avis,étaient réactif et commercial et bien voyez vous je suis extrêmement déçu.",1.0,FR,1avis,
"inadmissibleinadmissible, j'ai meme pas reu ma paire commander sur votre site pff !!",1.0,FR,2avis,14 septembre 2024
"Impossible de passer une commandeImpossible de passer une commande sur le site, 8 essais au moins sur plusieurs PC avec différents navigateurs, différents moyens de paiement et j'ai toujours le même message d'erreur Code : 98D2586B avec un numéro d'assistance.J'appel ce numéro la personne au bout ne sait même pas à quoi correspond ce code erreur et me demande de ré-essayer le lendemain. Cela fait 4 jours que j'essais de passer ma commade et toujours ce code erreur alors que mes collègues arrivent eux à passer leurs commande.",1.0,FR,2avis,24 avril 2024
"J'achète une paire de Jordan 1 low dans…J'achète une paire de Jordan 1 low dans 1 JD Sports fin novembre 2023. Celles-ci présentent un défaut de couture dès février 2024. Étant donné que JD Sports ne veut pas échanger les chaussures pour une question de délai, je contacte Nike via le chat. On m'envoie rapidement un ticket pour le renvoi des chaussures. Début mars, Nike reçoit les chaussures et admet après analyse quelques jours après que le défaut est avéré. On me promet que je vais recevoir une carte cadeau du montant équivalent à l'achat dans le JD Sports dans un délai d'environ 5 à 6 semaines. Après de multiples relances par le chat et par téléphone, donc après bientôt 4 mois, je n'ai toujours rien reçu... Tout simplement honteux pour une entreprise de ce calibre ! Je vais désormais boycotter les produits Nike. Dommage !",1.0,FR,1avis,05 mars 2024
Service client déplorable j'ai voulu…Service client déplorable j'ai voulu connaître un process de réclamation après un litige transporteur on me prend de haut alors que je me suis fait volé la moitié de ma commande ! Peut-être que si il ne marquait pas non plus sur l'extérieur du colis ce qu'il y a dedans ça n'arriverait pas! C'est honteux ! A fuir absolument !,1.0,FR,6avis,29 décembre 2023
"Commande passée sur le site de Nike…Commande passée sur le site de Nike pour le Black Friday, paiement CB effectué.Mais après paiement, message informant ""nous ne pouvons traiter la commande, veuillez appeler le ..."" J'ai immédiatement appelé, mais c'est une voix robot qui parle, aucune aide. J'attends toujours une réponse du Service Client.Je suis très déçu de Nike, j'avais une autre image de l'entreprise. C'est ma pire expérience d'achat sur Internet à ce jour...",1.0,FR,1avis,27 novembre 2023
"Articles conformes à mes attentes et…Articles conformes à mes attentes et reçus rapidement par chronopost.Une fois les commandes envoyées par Nike et une fois le mail de chronopost reçu m’indiquant la prochaine livraison de ma commande,  J’ai  demandé une livraison dans un relais.Parfait!",5.0,FR,8avis,26 janvier 2024
"VOLEURCarte cadeau commandée le 31/03, jamais reçue, 3 appels au sav pour demander le renvoi puis le remboursement et toujours rien à ce jour.  J'ai pourtant fait ma demande pendant la période de rétractation légale.Société à fuir !",1.0,FR,1avis,31 mars 2024
